"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Condensateurs";"images_questions/ELECTRO_formules/2025_05_22_08_12_18_1747894338_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_22_08_12_18_1747894338_R.jpg";"1";""
"Condensateurs";"images_questions/ELECTRO_formules/2025_05_22_08_12_05_1747894325_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_22_08_12_05_1747894325_R.jpg";"1";""
"Courant";"images_questions/ELECTRO_formules/2025_05_22_08_11_51_1747894311_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_22_08_11_51_1747894311_R.jpg";"1";""
"Magnétisme";"images_questions/ELECTRO_formules/2025_05_22_08_12_46_1747894366_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_22_08_12_46_1747894366_R.jpg";"1";""
"Magnétisme";"images_questions/ELECTRO_formules/7_2026_02_28_02_07_36_Q.jpg";"";"images_reponses/ELECTRO_formules/7_2026_02_28_02_07_38_R.jpg";"1";""
"Magnétisme";"images_questions/ELECTRO_formules/2025_05_22_08_13_32_1747894412_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_22_08_13_32_1747894412_R.jpg";"1";""
"Circuit électrique";"images_questions/ELECTRO_formules/2025_05_22_08_27_33_1747895253_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_22_08_27_33_1747895253_R.jpg";"1";""
"Conductance";"images_questions/ELECTRO_formules/2025_05_25_01_47_51_1748130471_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_25_01_47_51_1748130471_R.jpg";"1";""
"Résistance d'un fil";"images_questions/ELECTRO_formules/2025_05_24_23_52_17_1748123537_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_24_23_52_17_1748123537_R.jpg";"1";""
"Résistance d'un fil";"images_questions/ELECTRO_formules/2025_05_24_23_31_31_1748122291_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_24_23_31_31_1748122291_R.jpg";"1";""
"Longueur d'onde";"images_questions/ELECTRO_formules/2025_05_27_00_21_25_1748298085_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_27_00_21_25_1748298085_R.jpg";"1";""
"Conductivité";"images_questions/ELECTRO_formules/2025_05_27_09_09_19_1748329759_Q.jpg";"";"images_reponses/ELECTRO_formules/2025_05_27_09_09_19_1748329759_R.jpg";"1";""
"Résistance et température";"images_questions/ELECTRO_formules/15_2025_06_02_01_48_33_Q.jpg";"";"images_reponses/ELECTRO_formules/15_2025_06_02_01_48_34_R.jpg";"1";""
"Charge électrique";"images_questions/ELECTRO_formules/16_2026_03_07_07_45_45_Q.jpg";"C pour ""Coulombs""";"images_reponses/ELECTRO_formules/16_2026_03_07_07_45_48_R.jpg";"1";""
"Charge électrique";"images_questions/ELECTRO_formules/17_2025_06_02_01_43_00_Q.jpg";"";"images_reponses/ELECTRO_formules/17_2025_06_02_01_43_01_R.jpg";"1";""
"Charge électrique et électrons";"images_questions/ELECTRO_formules/18_2025_06_02_01_43_46_Q.jpg";"";"images_reponses/ELECTRO_formules/18_2025_06_02_01_43_47_R.jpg";"1";""
"Limites d'une résistance";"images_questions/ELECTRO_formules/19_2025_06_02_01_44_20_Q.jpg";"";"images_reponses/ELECTRO_formules/19_2025_06_02_01_44_21_R.jpg";"1";""
"Circuit";"images_questions/ELECTRO_formules/22_2026_02_27_08_57_35_Q.jpg";"";"images_reponses/ELECTRO_formules/22_2026_02_27_08_57_38_R.jpg";"1";""
"Circuit en alternatif";"images_questions/ELECTRO_formules/23_2026_02_27_02_30_10_Q.jpg";"";"images_reponses/ELECTRO_formules/23_2026_02_27_02_30_12_R.jpg";"1";""
"Soit un appareil électrique de tension nominale $U_n[V]$ dissipe une puissance $P_n[W]$. Que devient la puissance de cet appareil si la tension diminue de moitié.";"images_questions/ELECTRO_formules/2022_06_09_19_50_38_1654797038_Q.png";"";"images_reponses/ELECTRO_formules/2022_06_09_19_50_38_1654797038_R.png";"1";""
"Soit un circuit électrique composé de 2 résistances alimentées par une tension $U[V]$. Discuter de la puissance si les résistances sont couplées en séries ou en parallèles.";"images_questions/ELECTRO_formules/2022_06_09_08_44_40_1654757080_Q.png";"En parallèle la puissance augmente, car la résistance diminue";"";"1";""
"Citer un cas en pratique dans les tableaux électriques où la formule suivante est utilisée ?";"images_questions/ELECTRO_formules/2022_05_04_09_02_54_1651647774_Q.jpg";"Les efforts électrodynamiques élevés apparaissant en cas de court-circuit et les dégâts matériels qu’ils peuvent engendrer justifient l’importance apportée à la tenue mécanique des jeux de barres. https://sitelec.org/download_page.php?filename=datasheet/ct162.pdf";"images_reponses/ELECTRO_formules/2022_05_04_09_02_54_1651647774_R.jpg";"1";""
"En magnétisme, que représente la formule suivante ?";"images_questions/ELECTRO_formules/2022_04_29_14_51_50_1651236710_Q.jpg";"Autre noms vu dans la littérature : Solénation. Analogie : la solénation \Theta est la « poussée magnétique » totale créée par toutes les spires qui embrassent le noyau.";"images_reponses/ELECTRO_formules/2022_04_29_14_51_50_1651236710_R.jpg";"1";""
"En électrotechnique, que représente la formule suivante ?";"images_questions/ELECTRO_formules/2022_04_29_14_40_47_1651236047_Q.jpg";"Proposition de réponse.";"images_reponses/ELECTRO_formules/2022_04_29_14_40_47_1651236047_R.jpg";"1";""
"Soit un circuit RLC parallèle qui doit résonner à une fréquence de 38 [kHz]. R=56000 Ohms et L = 3 [mH]. Calculer la valeur de C en microfarads.";"images_questions/ELECTRO_formules/2019_05_28_00_45_17_1558997117_Q.jpg";"C = 5.85[nF]";"images_reponses/ELECTRO_formules/2019_05_28_00_45_17_1558997117_R.jpg";"1";""
"Montrer <i>algébriquement </i> que cette formule est valable en <i>étoile </i> ou en <i>triangle </i>.";"images_questions/ELECTRO_formules/2019_05_25_15_15_27_1558790127_Q.jpg";"Voir CHAPITRE 11, page 11-21 (Denis Schneider). En étoile I=Iphase. En Triangle U=Uph";"";"1";""
"Pour la formule ci-dessous extraire <i>alpha </i>.";"images_questions/ELECTRO_formules/2017_05_10_17_54_43_1494431683_Q.jpg";"apprendre à transformer la formule";"images_reponses/ELECTRO_formules/2017_05_10_17_54_43_1494431683_R.jpg";"1";""
"Dans cette formule, que représente la lettre <i>alpha </i> ?";"images_questions/ELECTRO_formules/2017_05_10_17_39_02_1494430742_Q.jpg";"Le coefficient de température exprimé en $\dfrac{1}{\Kelvin}$ varie légèrement selon les tables de constantes physiques. (pureté du métal)";"images_reponses/ELECTRO_formules/2017_05_10_17_39_02_1494430742_R.jpg";"1";""
"Expliquer les relations mathématiques entres les grandeurs physiques de cette situation.";"images_questions/ELECTRO_formules/2017_03_23_19_25_43_1490293543_Q.jpg";"l'effort sur la manivelle crée un moment par rapport à l'axe de rotation";"images_reponses/ELECTRO_formules/2017_03_23_19_25_44_1490293544_R.jpg";"1";""
"Expliquez cette formule. Ecrire la valeur de r en fonction des autres variables";"images_questions/ELECTRO_formules/2017_03_18_19_04_41_1489860281_Q.jpg";"Eclairement d'une surface ou d'un point, intensité lumineuse et distance à la surface";"images_reponses/ELECTRO_formules/2017_03_18_19_04_41_1489860281_R.jpg";"1";""
"Dessiner le circuit qui correspond à cette équation.";"images_questions/ELECTRO_formules/2017_03_15_18_40_36_1489599636_Q.jpg";"Source de tension, avec une résistance interne et une charge.";"images_reponses/ELECTRO_formules/2017_03_15_18_40_36_1489599636_R.jpg";"1";""
